event_id,official_date,url,first_capture_utc,note
AIT-2025-08-007,2025-08-26,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2025-09-001,2025-09-24,https://arxiv.org/abs/2509.20427,,err:ConnectionResetError
AIT-2025-09-004,2025-09-23,https://suno.com/release-notes,,err:ConnectionResetError
AIT-2025-09-005,2025-09-24,https://qwen.ai/blog/qwen3-max,,err:ConnectionResetError
AIT-2025-09-007,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,,err:ConnectionResetError
AIT-2025-09-008,2025-09-30,https://openai.com/index/sora-2/,,err:ConnectionResetError
AIT-2025-09-009,2025-09-29,https://api-docs.deepseek.com/news/news250929,,err:ConnectionResetError
AIT-2025-10-003,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,,err:ConnectionResetError
AIT-2025-11-001,2025-11-06,https://www.kimi.com/en/blog/kimi-k2-thinking,,err:ConnectionResetError
AIT-2025-11-002,2025-11-12,https://openai.com/index/gpt-5-1/,20251112194902,err:ConnectionResetError
AIT-2025-11-003,2025-11-17,https://x.ai/news/grok-4-1,,err:ConnectionResetError
AIT-2025-11-004,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2025-11-006,2025-11-20,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2025-11-007,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,,err:ConnectionResetError
AIT-2025-11-008,2025-11-25,https://bfl.ai/models/flux-2,,err:ConnectionResetError
AIT-2025-12-001,2025-12-02,https://mistral.ai/news/mistral-3/,,err:ConnectionResetError
AIT-2025-12-002,2025-12-11,https://openai.com/index/introducing-gpt-5-2/,,err:ConnectionResetError
AIT-2025-12-003,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2025-12-004,2025-12-02,https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-nova-2-omni-preview/,,err:ConnectionResetError
AIT-2025-12-005,2025-12-01,https://runwayml.com/research/introducing-runway-gen-4-5,,err:ConnectionResetError
AIT-2025-12-006,2025-12-17,https://x.ai/news/grok-voice-agent-api,,err:ConnectionResetError
AIT-2025-12-007,2025-12-22,https://z.ai/blog/glm-4.7,,err:TimeoutError
AIT-2025-12-009,2025-12-20,https://huggingface.co/MiniMaxAI/MiniMax-M2.1,,err:ConnectionResetError
AIT-2026-01-003,2026-01-27,https://www.kimi.com/en/blog/kimi-k2-5,,err:ConnectionResetError
AIT-2026-01-004,2026-01-28,https://x.ai/news/grok-imagine-api,,err:ConnectionResetError
AIT-2026-02-001,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,,err:ConnectionResetError
AIT-2026-02-002,2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,,err:ConnectionResetError
AIT-2026-02-005,2026-02-11,https://z.ai/blog/glm-5,,err:HTTPError
AIT-2026-02-008,2026-02-26,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2026-03-002,2026-03-05,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,,err:ConnectionResetError
AIT-2026-03-003,2026-03-16,https://docs.mistral.ai/models/model-cards/mistral-small-4-0-26-03,,err:ConnectionResetError
AIT-2026-03-004,2026-03-26,https://suno.com/blog/v5-5,,err:ConnectionResetError
