event_id,ticker,car_sym14
AIT-2023-05-002,PDD,-0.09898937
AIT-2023-05-002,PEP,-0.03353237
AIT-2023-05-002,PLTR,0.61050942
AIT-2023-05-002,PYPL,-0.17385341
AIT-2023-05-002,QCOM,0.00127919
AIT-2023-05-002,REGN,-0.14252435
AIT-2023-05-002,RKLB,0.13092570
AIT-2023-05-002,ROP,0.01477426
AIT-2023-05-002,ROST,-0.04817288
AIT-2023-05-002,SBUX,-0.13426474
AIT-2023-05-002,SHOP,0.12086388
AIT-2023-05-002,SNPS,0.17413036
AIT-2023-05-002,STX,-0.00618238
AIT-2023-05-002,TER,0.02262553
AIT-2023-05-002,TMUS,-0.09880270
AIT-2023-05-002,TRI,-0.04846585
AIT-2023-05-002,TSLA,0.19616732
AIT-2023-05-002,TSM,0.12933651
AIT-2023-05-002,TTWO,0.11972916
AIT-2023-05-002,TXN,-0.01818741
AIT-2023-05-002,UMC,-0.02181113
AIT-2023-05-002,VRTX,-0.04004124
AIT-2023-05-002,WBD,-0.22273162
AIT-2023-05-002,WDAY,0.05689162
AIT-2023-05-002,WDC,0.16595190
AIT-2023-05-002,WMT,-0.04285107
AIT-2023-05-002,XEL,-0.08715248
AIT-2023-07-002,AAPL,0.00461403
AIT-2023-07-002,ABNB,0.11813107
AIT-2023-07-002,ADBE,-0.01084458
AIT-2023-07-002,ADI,-0.00359754
AIT-2023-07-002,ADP,0.10179894
AIT-2023-07-002,ADSK,-0.04901411
AIT-2023-07-002,AEP,0.00542211
AIT-2023-07-002,ALNY,-0.04043617
AIT-2023-07-002,AMAT,-0.01925954
AIT-2023-07-002,AMD,-0.15121866
AIT-2023-07-002,AMGN,0.00854848
AIT-2023-07-002,AMZN,0.02166167
AIT-2023-07-002,APP,0.18901812
AIT-2023-07-002,ASML,-0.10999084
AIT-2023-07-002,ASX,-0.12300059
AIT-2023-07-002,AVGO,-0.07150403
AIT-2023-07-002,AXON,-0.17550106
AIT-2023-07-002,BKNG,0.04807851
AIT-2023-07-002,BKR,0.08641226
AIT-2023-07-002,CCEP,-0.09660624
AIT-2023-07-002,CDNS,-0.07865311
AIT-2023-07-002,CEG,0.01102736
AIT-2023-07-002,CMCSA,0.04780260
AIT-2023-07-002,COST,0.04120410
AIT-2023-07-002,CPRT,-0.08131976
AIT-2023-07-002,CRDO,-0.18558000
AIT-2023-07-002,CRWD,0.04012991
AIT-2023-07-002,CSCO,-0.03909470
AIT-2023-07-002,CSX,-0.03573746
AIT-2023-07-002,CTAS,-0.02708047
AIT-2023-07-002,DASH,0.12972839
AIT-2023-07-002,DDOG,0.15063101
AIT-2023-07-002,DXCM,-0.12541516
AIT-2023-07-002,EA,0.03828175
AIT-2023-07-002,ENTG,-0.04917636
AIT-2023-07-002,EXC,0.00511328
AIT-2023-07-002,FANG,0.10935135
AIT-2023-07-002,FAST,-0.01297001
AIT-2023-07-002,FER,-0.02656621
AIT-2023-07-002,FTNT,-0.01716935
AIT-2023-07-002,GEHC,-0.08410752
AIT-2023-07-002,GILD,-0.07769061
AIT-2023-07-002,GOOG,0.01713732
AIT-2023-07-002,GOOGL,0.01906002
AIT-2023-07-002,HON,-0.08383058
AIT-2023-07-002,IDXX,0.05337146
AIT-2023-07-002,INTC,-0.07014292
AIT-2023-07-002,INTU,0.06740903
AIT-2023-07-002,ISRG,-0.11591677
AIT-2023-07-002,KDP,0.07857491
AIT-2023-07-002,KHC,-0.04105092
AIT-2023-07-002,KLAC,0.01836283
AIT-2023-07-002,LIN,-0.02088937
AIT-2023-07-002,LITE,-0.07941503
AIT-2023-07-002,LRCX,0.05574857
AIT-2023-07-002,MAR,0.09772635
AIT-2023-07-002,MCHP,0.02345747
AIT-2023-07-002,MDLZ,-0.03119619
