event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-10-001,PEP,0.01725376,0.01231764,0.02787090,0.00749489
AIT-2022-10-001,PLTR,-0.04638490,-0.03195839,-0.05518183,-0.22216086
AIT-2022-10-001,PYPL,-0.07722220,-0.03222258,-0.08134393,-0.10347384
AIT-2022-10-001,QCOM,-0.01480092,-0.01439722,-0.02913117,-0.01047072
AIT-2022-10-001,REGN,0.01737993,0.01937085,0.01264698,-0.04448434
AIT-2022-10-001,RKLB,-0.05489203,0.00661378,0.09701803,0.00242004
AIT-2022-10-001,ROP,-0.01293649,-0.01081657,0.07301399,0.10848489
AIT-2022-10-001,ROST,0.01100803,0.06037024,0.07027355,0.16731613
AIT-2022-10-001,SBUX,-0.07572699,-0.07678453,-0.06765795,0.03470218
AIT-2022-10-001,SHOP,-0.12800798,-0.13163053,-0.00288868,0.07632777
AIT-2022-10-001,SNPS,-0.01115805,-0.05710942,-0.07157755,-0.01390513
AIT-2022-10-001,STX,0.02135376,0.03414076,-0.08937351,-0.01749039
AIT-2022-10-001,TER,-0.00933235,-0.00567398,0.02773740,0.13332619
AIT-2022-10-001,TMUS,-0.00860824,-0.01380517,0.04510136,-0.01568446
AIT-2022-10-001,TRI,-0.00780932,0.00436150,0.02033686,0.06779271
AIT-2022-10-001,TSLA,-0.04596968,-0.02179322,-0.01443445,-0.27856691
AIT-2022-10-001,TSM,-0.07287658,-0.09131334,-0.08492088,0.20733793
AIT-2022-10-001,TTWO,-0.03916258,-0.03797161,-0.05444036,-0.27784154
AIT-2022-10-001,TXN,0.01115649,-0.00324927,-0.01297480,0.04052410
AIT-2022-10-001,UMC,-0.04132036,-0.05246885,-0.09539082,0.11693978
AIT-2022-10-001,VRTX,0.03852616,0.02077585,0.02751471,-0.02076494
AIT-2022-10-001,WBD,-0.02198182,-0.01104653,-0.06470672,-0.22880408
AIT-2022-10-001,WDAY,-0.02935433,0.00580639,0.00303526,-0.06787418
AIT-2022-10-001,WDC,-0.00257888,-0.01187257,-0.01603581,0.02648832
AIT-2022-10-001,WMT,0.02370576,0.02160506,0.03387212,0.07853997
AIT-2022-10-001,XEL,0.01609249,0.02298182,0.06535011,0.10255768
AIT-2022-12-001,AAPL,0.00814975,0.00596161,-0.01982499,-0.06604416
AIT-2022-12-001,ABNB,0.03826487,0.02411698,0.01847644,0.03408523
AIT-2022-12-001,ADBE,0.01318259,0.01635523,0.02369340,0.07628000
AIT-2022-12-001,ADI,0.01394924,0.01632765,0.00707591,0.00093215
AIT-2022-12-001,ADP,-0.00692875,0.00611270,-0.03801236,-0.10313677
AIT-2022-12-001,ADSK,0.00331153,0.00847996,0.01475044,-0.00215288
AIT-2022-12-001,AEP,-0.00270813,0.00907664,-0.01120959,0.00128520
AIT-2022-12-001,ALNY,-0.00545792,-0.00327792,-0.01640893,-0.10217389
AIT-2022-12-001,AMAT,0.01165482,0.00662599,0.00279992,0.02941950
AIT-2022-12-001,AMD,-0.02086742,-0.01834329,-0.02812958,0.00029478
AIT-2022-12-001,AMGN,-0.02833292,-0.04130781,-0.07773697,-0.08721849
AIT-2022-12-001,AMZN,0.01014708,0.00465130,0.02506926,0.03964821
