"spec","detail","outcome","method","coef","coef_pp","se","p","stars","observations","events","firms","competitor_rows","competitor_events","competitor_firms","cluster_2"
"leave_one_creator_out","Runway","car_mm_spy_0_20","event_CR2",0.0336065788077767,3.36065788077767,0.0091869889261189,0.000390334269657931,"***",5308,121,45,607,120,6,NA
"leave_one_creator_out","Runway","car_mm_spy_0_20","event_x_ticker_HC1",0.0336065788077791,3.36065788077791,0.0148686294620828,0.0288070755135836,"**",5308,121,45,607,120,6,45
"leave_one_creator_out","Stability.ai","car_mm_spy_0_20","event_CR2",0.0359665927097798,3.59665927097798,0.00915216614472201,0.000151091813402901,"***",5138,117,45,583,116,6,NA
"leave_one_creator_out","Stability.ai","car_mm_spy_0_20","event_x_ticker_HC1",0.0359665927097767,3.59665927097767,0.0153013335731395,0.0232928047408009,"**",5138,117,45,583,116,6,45
"leave_one_creator_out","Suno","car_mm_spy_0_20","event_CR2",0.0321934130325459,3.21934130325459,0.00912565763626583,0.000610240146189721,"***",5307,121,45,610,120,6,NA
"leave_one_creator_out","Suno","car_mm_spy_0_20","event_x_ticker_HC1",0.0321934130325467,3.21934130325467,0.0140519422506893,0.0268082942918426,"**",5307,121,45,610,120,6,45
"leave_one_creator_out","Udio","car_mm_spy_0_20","event_CR2",0.0340098170710127,3.40098170710127,0.00901287043204148,0.000258089866228309,"***",5397,123,45,620,122,6,NA
"leave_one_creator_out","Udio","car_mm_spy_0_20","event_x_ticker_HC1",0.0340098170710128,3.40098170710128,0.0140686265728393,0.0198417243578245,"**",5397,123,45,620,122,6,45
"leave_one_creator_out","Vidu","car_mm_spy_0_20","event_CR2",0.0345186682198023,3.45186682198023,0.00904101765171543,0.000220224340362826,"***",5397,123,45,619,122,6,NA
"leave_one_creator_out","Vidu","car_mm_spy_0_20","event_x_ticker_HC1",0.034518668219803,3.4518668219803,0.0143718534589399,0.0206026800506143,"**",5397,123,45,619,122,6,45
"leave_one_creator_out","xAI","car_mm_spy_0_20","event_CR2",0.0321026825793505,3.21026825793505,0.00907020871779,0.000591685798192784,"***",5174,118,45,595,117,6,NA
"leave_one_creator_out","xAI","car_mm_spy_0_20","event_x_ticker_HC1",0.0321026825793518,3.21026825793518,0.0146179694580311,0.0333995643209253,"**",5174,118,45,595,117,6,45
"leave_one_creator_out","Z AI","car_mm_spy_0_20","event_CR2",0.0323617877631812,3.23617877631812,0.00901542798274256,0.000494077803683865,"***",5307,121,45,610,120,6,NA
"leave_one_creator_out","Z AI","car_mm_spy_0_20","event_x_ticker_HC1",0.0323617877631827,3.23617877631827,0.0142049596915252,0.0276252121033616,"**",5307,121,45,610,120,6,45
