"portfolio","event_window","nw_lag","daily_alpha","daily_se","p","stars","ci95_low","ci95_high","annualized_alpha_arithmetic","active_day_alpha","daily_mean_return","annualized_mean_return_arithmetic","observations","active_days","share_active_days"
"hardware_minus_unrelated","pre_11_1",5,-0.000257212544672868,0.00119601118301668,0.829772230333347,"",-0.00260463217958111,0.00209020709023537,-0.0419451574574803,-0.000257212544672868,2.01769390814888e-05,0.00508458864853518,870,563,0.647126436781609
"hardware_minus_unrelated","pre_11_1",10,-0.000257212544672868,0.00126630089462351,0.839088024376932,"",-0.00274259029527509,0.00222816520592936,-0.0419451574574803,-0.000257212544672868,2.01769390814888e-05,0.00508458864853518,870,563,0.647126436781609
"hardware_minus_unrelated","pre_11_1",20,-0.000257212544672868,0.001423581169718,0.856661087513831,"",-0.00305128540714632,0.00253686031780058,-0.0419451574574803,-0.000257212544672868,2.01769390814888e-05,0.00508458864853518,870,563,0.647126436781609
"hardware_minus_unrelated","pre_11_1",40,-0.000257212544672868,0.0016114306674541,0.87321960746157,"",-0.00341997894919259,0.00290555385984685,-0.0419451574574803,-0.000257212544672868,2.01769390814888e-05,0.00508458864853518,870,563,0.647126436781609
"hardware_minus_unrelated","0_20",5,0.00115353028545407,0.00116384458085725,0.321892013687618,"",-0.00113071923694493,0.00343777980785306,0.236185325946721,0.00115353028545407,0.00128939050259894,0.324926406654933,880,715,0.8125
"hardware_minus_unrelated","0_20",10,0.00115353028545407,0.00124587251565109,0.354762575237202,"",-0.00129171347445573,0.00359877404536387,0.236185325946721,0.00115353028545407,0.00128939050259894,0.324926406654933,880,715,0.8125
"hardware_minus_unrelated","0_20",20,0.00115353028545407,0.00137232589286443,0.400820562820412,"",-0.00153990044998176,0.0038469610208899,0.236185325946721,0.00115353028545407,0.00128939050259894,0.324926406654933,880,715,0.8125
"hardware_minus_unrelated","0_20",40,0.00115353028545407,0.00147410435214006,0.434114875327889,"",-0.00173965856271844,0.00404671913362658,0.236185325946721,0.00115353028545407,0.00128939050259894,0.324926406654933,880,715,0.8125
"hardware_minus_unrelated","0_10",5,0.000684362466166209,0.00127137181225038,0.59051748985454,"",-0.00181096801044171,0.00317969294277413,0.111602999137698,0.000684362466166209,0.000701344760079974,0.176738879540154,870,563,0.647126436781609
"hardware_minus_unrelated","0_10",10,0.000684362466166209,0.00136430643046716,0.616062820313875,"",-0.00199337144501036,0.00336209637734278,0.111602999137698,0.000684362466166209,0.000701344760079974,0.176738879540154,870,563,0.647126436781609
"hardware_minus_unrelated","0_10",20,0.000684362466166209,0.00148454045253576,0.64491951780721,"",-0.00222935561321517,0.00359808054554759,0.111602999137698,0.000684362466166209,0.000701344760079974,0.176738879540154,870,563,0.647126436781609
"hardware_minus_unrelated","0_10",40,0.000684362466166209,0.00158743411226687,0.666493962655331,"",-0.00243130572922592,0.00380003066155834,0.111602999137698,0.000684362466166209,0.000701344760079974,0.176738879540154,870,563,0.647126436781609
