"block","y","term","coef","se","p","n","events"
"vol_2526","av_pre_m10_m2","rel_upstream_cloud",-0.0221373278286937,0.0655356966289739,0.736605035507347,3023,68
"vol_2526","av_pre_m10_m2","rel_downstream_integrator",-0.00317783110034935,0.0569809019685559,0.955691634929238,3023,68
"vol_2526","av_pre_m10_m2","rel_downstream_deployer",-0.159694103526935,0.0494954313675016,0.00194102577203552,3023,68
"vol_2526","av_pre_m10_m2","rel_downstream_enabler",-0.308955715089713,0.0695900321509097,3.45181419804042e-05,3023,68
"vol_2526","av_pre_m10_m2","rel_competitor",0.0892038895432839,0.0587053303340705,0.133721458547063,3023,68
"vol_2526","av_pre_m10_m2","rel_is_investor",-0.0852690986348519,0.106609362552784,0.430377332762911,3023,68
"vol_2526","av_pre_m10_m2","rel_is_owner",-0.0400848512554456,0.205874851497204,0.847546221309629,3023,68
"vol_full","av_0_1","rel_upstream_hardware",-0.00742010030918216,0.0497974095676704,0.881796797097048,5441,124
"vol_full","av_0_1","rel_upstream_cloud",0.0950870875556086,0.0674898038120046,0.161480614747591,5441,124
"vol_full","av_0_1","rel_downstream_integrator",-0.0515805590610199,0.0538371932729705,0.339923214931362,5441,124
"vol_full","av_0_1","rel_downstream_deployer",-0.170011116513915,0.0572938173348066,0.00361676519225683,5441,124
"vol_full","av_0_1","rel_downstream_enabler",-0.456708197381766,0.0751134021138447,1.42004547059922e-08,5441,124
"vol_full","av_0_1","rel_competitor",0.102551484072545,0.0632609022377754,0.107765851846516,5441,124
"vol_full","av_0_1","rel_is_investor",-0.0625819533937829,0.119434097665222,0.602694452502287,5441,124
"vol_full","av_0_1","rel_is_owner",0.562780713171112,0.201023432915408,0.00737125917281509,5441,124
"vol_2526","av_0_1","rel_upstream_hardware",-0.0636141096182016,0.0627104963606085,0.314047029998989,3023,68
"vol_2526","av_0_1","rel_upstream_cloud",0.0120657904432543,0.0813940887424573,0.882610998416932,3023,68
"vol_2526","av_0_1","rel_downstream_integrator",-0.00902647183403183,0.0730100772275079,0.901977406678265,3023,68
"vol_2526","av_0_1","rel_downstream_deployer",-0.233374386937979,0.0702483155988211,0.00145031618501683,3023,68
"vol_2526","av_0_1","rel_downstream_enabler",-0.377724948853653,0.107007007059867,0.000757123279412664,3023,68
"vol_2526","av_0_1","rel_competitor",0.0473424030119875,0.0773215786259083,0.542594798672998,3023,68
"vol_2526","av_0_1","rel_is_investor",0.0242488823637326,0.153211381359599,0.875351135765735,3023,68
"vol_2526","av_0_1","rel_is_owner",0.597920439747793,0.292051702535415,0.0536985122869025,3023,68
"phase_p2024_llm","car_mm_spy_0_20","rel_upstream_hardware",-0.0329166135654487,0.0187737839532934,0.0894767128485485,1406,32
"phase_p2024_media","car_mm_spy_0_20","rel_upstream_hardware",-0.0455425024715208,0.0363829814625163,0.236675840682927,526,12
"phase_p2526_llm","car_mm_spy_0_20","rel_upstream_hardware",0.0727189615921855,0.0147874327429939,1.03237303922267e-05,2221,50
"phase_p2526_media","car_mm_spy_0_20","rel_upstream_hardware",0.0746797071575722,0.0226506641281186,0.00456799986298853,757,17
"phase_p2223_llm","car_mm_spy_0_20","rel_upstream_hardware",0.0104447789755785,0.0503098205517197,0.845680043059393,215,5
"phase_p2223_media","car_mm_spy_0_20","rel_upstream_hardware",0.0757695938630342,0.0397233261670171,0.127325228596601,227,6
"cap_all","car_mm_spy_0_20","aa_intelligence_index",-0.000587602512196003,0.000310918680722982,0.0711968571687602,3842,87
"cap_closed","car_mm_spy_0_20","aa_intelligence_index",-0.00130547519946382,0.000401307679445161,0.00524269634662434,2207,50
"cap_open","car_mm_spy_0_20","aa_intelligence_index",-0.000669644314935522,0.000534264727180326,0.247278863567243,1635,37
"cap_placebo","car_mm_spy_0_20","aa_intelligence_index",-0.000813952156847786,0.00163473415904058,0.623339647514775,174,87
"cap_ix","car_mm_spy_0_20","intel_c",-0.00123620973574422,0.000422329250904132,0.0064070585886765,3842,87
