"date","portfolio","event_window","event_portfolio_return","active_events"
2024-12-12,"hardware_minus_unrelated","pre_11_1",0.0161384215291041,3
2024-12-12,"competitor_minus_unrelated","0_10",0.0074298765516704,6
2024-12-12,"competitor_minus_unrelated","0_20",0.00918099002231073,7
2024-12-12,"hardware_minus_unrelated","pre_21_1",0.0161384215291041,3
2024-12-12,"competitor_minus_unrelated","pre_11_1",0.00144310392692463,3
2024-12-13,"hardware_minus_unrelated","0_10",0.000113117185055682,6
2024-12-13,"competitor_minus_unrelated","0_10",-0.0263565797717213,6
2024-12-13,"hardware_minus_unrelated","0_20",0.000113117185055682,7
2024-12-13,"hardware_minus_unrelated","pre_21_1",0.000113117185055682,3
2024-12-13,"deployer_minus_unrelated","0_10",-0.0261677732343786,6
2024-12-13,"deployer_minus_unrelated","pre_21_1",-0.0261677732343786,3
2024-12-13,"competitor_minus_unrelated","0_20",-0.0262725727650321,7
2024-12-13,"deployer_minus_unrelated","0_20",-0.0261677732343786,7
2024-12-13,"competitor_minus_unrelated","pre_21_1",-0.0265707140571083,3
2024-12-13,"deployer_minus_unrelated","pre_11_1",-0.0261677732343786,3
2024-12-13,"competitor_minus_unrelated","pre_11_1",-0.0265707140571083,3
2024-12-13,"hardware_minus_unrelated","pre_11_1",0.000113117185055682,3
2024-12-16,"hardware_minus_unrelated","0_20",0.0122807368375378,8
2024-12-16,"hardware_minus_unrelated","pre_11_1",0.0122807368375378,2
2024-12-16,"deployer_minus_unrelated","pre_21_1",0.00533292681939287,2
2024-12-16,"hardware_minus_unrelated","pre_21_1",0.0122807368375378,2
2024-12-16,"competitor_minus_unrelated","0_10",0.016011126223017,6
2024-12-16,"deployer_minus_unrelated","0_10",0.00533292681939287,6
2024-12-16,"deployer_minus_unrelated","pre_11_1",0.00533292681939287,2
2024-12-16,"competitor_minus_unrelated","0_20",0.0174292912089889,8
2024-12-16,"competitor_minus_unrelated","pre_21_1",0.0141327725505975,2
2024-12-16,"competitor_minus_unrelated","pre_11_1",0.0141327725505975,2
2024-12-16,"deployer_minus_unrelated","0_20",0.00533292681939287,8
2024-12-16,"hardware_minus_unrelated","0_10",0.0122807368375378,6
2024-12-17,"hardware_minus_unrelated","0_20",0.0200825905904395,8
2024-12-17,"deployer_minus_unrelated","0_10",0.03990600714688,6
2024-12-17,"hardware_minus_unrelated","pre_11_1",0.0200825905904395,2
2024-12-17,"competitor_minus_unrelated","pre_21_1",0.030930427101918,4
2024-12-17,"competitor_minus_unrelated","0_20",0.030560787268048,8
2024-12-17,"hardware_minus_unrelated","pre_21_1",0.0200825905904395,4
2024-12-17,"hardware_minus_unrelated","0_10",0.0200825905904395,6
2024-12-17,"competitor_minus_unrelated","pre_11_1",0.030930427101918,2
2024-12-17,"deployer_minus_unrelated","pre_11_1",0.03990600714688,2
2024-12-17,"deployer_minus_unrelated","pre_21_1",0.03990600714688,4
2024-12-17,"competitor_minus_unrelated","0_10",0.0303238201026734,6
2024-12-17,"deployer_minus_unrelated","0_20",0.03990600714688,8
2024-12-18,"deployer_minus_unrelated","pre_21_1",0.0244466788270861,4
2024-12-18,"hardware_minus_unrelated","0_10",0.0210030866567754,5
2024-12-18,"deployer_minus_unrelated","0_20",0.0244466788270861,7
2024-12-18,"competitor_minus_unrelated","pre_21_1",0.0246306087331886,4
2024-12-18,"hardware_minus_unrelated","0_20",0.0210030866567754,7
2024-12-18,"competitor_minus_unrelated","0_10",0.0248829014703205,5
2024-12-18,"competitor_minus_unrelated","pre_11_1",0.0246306087331886,2
2024-12-18,"deployer_minus_unrelated","0_10",0.0244466788270861,5
2024-12-18,"hardware_minus_unrelated","pre_11_1",0.0210030866567754,2
2024-12-18,"competitor_minus_unrelated","0_20",0.0246074424077224,7
2024-12-18,"deployer_minus_unrelated","pre_11_1",0.0244466788270861,2
2024-12-18,"hardware_minus_unrelated","pre_21_1",0.0210030866567754,4
2024-12-19,"hardware_minus_unrelated","0_20",0.0134897337031679,8
2024-12-19,"competitor_minus_unrelated","pre_21_1",0.0376420677618104,3
2024-12-19,"deployer_minus_unrelated","0_10",0.0436082049102844,6
2024-12-19,"hardware_minus_unrelated","0_10",0.0134897337031679,6
2024-12-19,"competitor_minus_unrelated","0_10",0.037279804414627,6
2024-12-19,"deployer_minus_unrelated","pre_21_1",0.0436082049102844,3
2024-12-19,"hardware_minus_unrelated","pre_11_1",0.0134897337031679,1
2024-12-19,"deployer_minus_unrelated","0_20",0.0436082049102844,8
2024-12-19,"deployer_minus_unrelated","pre_11_1",0.0436082049102844,1
2024-12-19,"hardware_minus_unrelated","pre_21_1",0.0134897337031679,3
2024-12-19,"competitor_minus_unrelated","pre_11_1",0.038205468795787,1
2024-12-19,"competitor_minus_unrelated","0_20",0.037319098164761,8
2024-12-20,"hardware_minus_unrelated","0_20",-0.0494286894083483,8
2024-12-20,"competitor_minus_unrelated","0_10",-0.0536472355605031,5
2024-12-20,"deployer_minus_unrelated","0_10",-0.0532845591167226,5
2024-12-20,"competitor_minus_unrelated","pre_21_1",-0.05498465559456,3
2024-12-20,"deployer_minus_unrelated","pre_11_1",-0.0532845591167226,1
2024-12-20,"deployer_minus_unrelated","0_20",-0.0532845591167226,8
2024-12-20,"hardware_minus_unrelated","0_10",-0.0494286894083483,5
2024-12-20,"competitor_minus_unrelated","pre_11_1",-0.0546851190819196,1
2024-12-20,"hardware_minus_unrelated","pre_11_1",-0.0494286894083483,1
2024-12-20,"competitor_minus_unrelated","0_20",-0.0533803896836119,8
2024-12-20,"hardware_minus_unrelated","pre_21_1",-0.0494286894083483,3
2024-12-20,"deployer_minus_unrelated","pre_21_1",-0.0532845591167226,3
2024-12-23,"hardware_minus_unrelated","0_20",0.0681078742990668,8
2024-12-23,"hardware_minus_unrelated","pre_11_1",0.0681078742990668,1
2024-12-23,"competitor_minus_unrelated","0_20",0.0532714290341493,8
2024-12-23,"deployer_minus_unrelated","0_10",0.0468681492277727,4
2024-12-23,"competitor_minus_unrelated","0_10",0.052604111882745,4
