"dropped_firm","variable","beta","se","p","n"
"NOW","upstream_hardware",0.0226199105251526,0.00834037502783044,0.00874625569088345,4769
"NOW","downstream_deployer",-0.0192882011030383,0.00505246972506262,0.000325689381673204,4769
"NVDA","upstream_hardware",0.0211284793975304,0.00825919724654892,0.0131100506301589,4771
"NVDA","downstream_deployer",-0.0184489512754304,0.00510154007864984,0.000620166029928626,4771
"NXPI","upstream_hardware",0.0237725783831084,0.00849059323508466,0.00689930378852091,4769
"NXPI","downstream_deployer",-0.019050483861439,0.00512759367884133,0.000452853440506765,4769
"OKTA","upstream_hardware",0.0224663762965136,0.00851936316102827,0.0106723607640251,4769
"OKTA","downstream_deployer",-0.0193961045756859,0.00496092054805266,0.000241052580780757,4769
"ORCL","upstream_hardware",0.0231176436020852,0.00846433458803111,0.00830982994602065,4769
"ORCL","downstream_deployer",-0.0186916900608623,0.00513851249898878,0.000579941526094477,4769
"PATH","upstream_hardware",0.0226954498685065,0.00825242424422746,0.0078958571523314,4769
"PATH","downstream_deployer",-0.0192111985465905,0.00505005613051661,0.000340173930074988,4769
"PEGA","upstream_hardware",0.022465546371954,0.00823534487833104,0.0083824888638971,4769
"PEGA","downstream_deployer",-0.0194292632125259,0.00510677067554467,0.000339675120836989,4769
"PLTR","upstream_hardware",0.0246495932284277,0.00841625751061939,0.00482987016586231,4769
"PLTR","downstream_deployer",-0.0174906192219539,0.0050223345780528,0.000941973577808214,4769
"PONY","upstream_hardware",0.0227039946326233,0.008443678103728,0.00930558205108864,4823
"PONY","downstream_deployer",-0.0188931013991017,0.00497619334938228,0.000348486346426709,4823
"QCOM","upstream_hardware",0.0241866387772008,0.00847832518757578,0.00596735685108965,4769
"QCOM","downstream_deployer",-0.0191294333855576,0.00509572188807564,0.000399932771647323,4769
"QUBT","upstream_hardware",0.0234484762269836,0.00811838845231574,0.00540776901110714,4769
"QUBT","downstream_deployer",-0.0182090198605161,0.00436351970660807,0.000100189808113659,4769
