"dropped_event_id","variable","beta","se","p","n"
"FMR-0032","downstream_deployer",-0.0190904342791135,0.00515941902102202,0.000481049626038801,4750
"FMR-0033","upstream_hardware",0.0237571610266299,0.00868248226107336,0.00823438874772076,4748
"FMR-0033","downstream_deployer",-0.0190529180451807,0.00501219380295249,0.000347804488649839,4748
"FMR-0034","upstream_hardware",0.0241151762614971,0.00846839317820011,0.00608234396931362,4746
"FMR-0034","downstream_deployer",-0.0189840082563059,0.00516223596031444,0.000516928393643941,4746
"FMR-0035","upstream_hardware",0.0241266502861834,0.00846441371952203,0.00603742450781487,4751
"FMR-0035","downstream_deployer",-0.0187889397088094,0.00515523380950848,0.000573568404791276,4751
"FMR-0036","upstream_hardware",0.023532741238762,0.00857113258760265,0.0080297069746162,4746
"FMR-0036","downstream_deployer",-0.0192856083374551,0.00516636704606632,0.000433256574766837,4746
"FMR-0037","upstream_hardware",0.0225340573990516,0.00859753635370607,0.0111762173911733,4746
"FMR-0037","downstream_deployer",-0.0193173977377152,0.00515740602992452,0.000416069059130256,4746
"FMR-0038","upstream_hardware",0.0221809333547421,0.00856967455767751,0.0121700175084727,4750
"FMR-0038","downstream_deployer",-0.0189688731406609,0.00516334372333901,0.000523064852172749,4750
"FMR-0039","upstream_hardware",0.0225042434708295,0.00859610850290538,0.011265222623786,4746
"FMR-0039","downstream_deployer",-0.0194919264878223,0.00514407983361966,0.000361660274932702,4746
"FMR-0040","upstream_hardware",0.0223033673031132,0.00858077576758861,0.0118293924396268,4750
"FMR-0040","downstream_deployer",-0.0191907798365707,0.00516255928250932,0.000455412005739329,4750
"FMR-0041","upstream_hardware",0.0230341795447487,0.00858124709417394,0.00946008471483869,4746
"FMR-0041","downstream_deployer",-0.0192444661450349,0.00516223076680101,0.000440206148999904,4746
"FMR-0042","upstream_hardware",0.0228991997496673,0.00858116051165094,0.00986200717180635,4746
"FMR-0042","downstream_deployer",-0.0193865066747221,0.00515763976936355,0.000398793306523534,4746
"FMR-0043","upstream_hardware",0.0232366153254571,0.00854565056901226,0.00862062210674436,4750
"FMR-0043","downstream_deployer",-0.0193108845984662,0.00519224997899448,0.000452695461572732,4750
"FMR-0044","upstream_hardware",0.0227306240512955,0.00855828470528766,0.0101947805467999,4750
"FMR-0044","downstream_deployer",-0.0193017533246354,0.00519509520403277,0.000458209243564107,4750
"FMR-0045","upstream_hardware",0.0225148806835971,0.0085478780101406,0.0108024132020102,4750
