"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_event"
"full sample","mkt_car_20","drop event FMR-0051","z_intelligence",0.0185363129387691,0.00684900222425416,0.00957516634468396,0.00474171434844633,0.0323309115290919,3683,46,0.299958559518407,"FMR-0051"
"full sample","mkt_car_20","drop event FMR-0052","z_intelligence",0.0178136747760746,0.0067126477935968,0.0109623888450314,0.00429370810662772,0.0313336414455214,3683,46,0.294955453096922,"FMR-0052"
"full sample","mkt_car_20","drop event FMR-0053","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0053"
"full sample","mkt_car_20","drop event FMR-0054","z_intelligence",0.0168212940369595,0.00758695903032184,0.0317088227223413,0.00154037414268811,0.0321022139312308,3680,46,0.29688083567927,"FMR-0054"
"full sample","mkt_car_20","drop event FMR-0055","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0055"
"full sample","mkt_car_20","drop event FMR-0056","z_intelligence",0.0179298243932382,0.00671068369064295,0.0104665703323352,0.00441381363020681,0.0314458351562696,3685,46,0.294245859397923,"FMR-0056"
"full sample","mkt_car_20","drop event FMR-0057","z_intelligence",0.0179524985599582,0.00669135299652365,0.0101723582325451,0.00447542181346188,0.0314295753064545,3685,46,0.296271762329353,"FMR-0057"
"full sample","mkt_car_20","drop event FMR-0058","z_intelligence",0.0179236709742818,0.0066745051153053,0.0101084100572268,0.00448052760244281,0.0313668143461207,3686,46,0.297805836397678,"FMR-0058"
"full sample","mkt_car_20","drop event FMR-0059","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0059"
"full sample","mkt_car_20","drop event FMR-0060","z_intelligence",0.0172625742056082,0.00666621499400916,0.0129012481593535,0.00383612799516604,0.0306890204160504,3686,46,0.29797587362522,"FMR-0060"
"closed source sample","mkt_car_20","all events","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,NA
"closed source sample","mkt_car_20","drop event FMR-0002","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0002"
"closed source sample","mkt_car_20","drop event FMR-0003","z_intelligence",0.0227689075786602,0.00635143483748011,0.00104502293076578,0.00986123900390197,0.0356765761534184,2802,35,0.317024765900518,"FMR-0003"
"closed source sample","mkt_car_20","drop event FMR-0004","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0004"
"closed source sample","mkt_car_20","drop event FMR-0005","z_intelligence",0.0233544981266006,0.00627428058332201,0.000712218196234479,0.0106036258612257,0.0361053703919755,2805,35,0.317465940950553,"FMR-0005"
"closed source sample","mkt_car_20","drop event FMR-0006","z_intelligence",0.0221541123561533,0.00627858665956597,0.00122114846180066,0.00939448909097491,0.0349137356213317,2802,35,0.317616109717226,"FMR-0006"
"closed source sample","mkt_car_20","drop event FMR-0007","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0007"
"closed source sample","mkt_car_20","drop event FMR-0008","z_intelligence",0.0235545067142458,0.00641803235439487,0.000824360231546055,0.0105114957014034,0.0365975177270883,2802,35,0.318073990410846,"FMR-0008"
"closed source sample","mkt_car_20","drop event FMR-0009","z_intelligence",0.0233043433801152,0.00630480952824961,0.000766035008185872,0.0104914288340359,0.0361172579261945,2802,35,0.317966979798502,"FMR-0009"
