"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"AA intelligence","ff3_car_20","all event-firm panel","z_intelligence",0.0123804783462629,0.00497547244134845,0.016518723697622,0.00236537176652767,0.0223955849259981,3782,47,0.28352975883858
"AA coding","ff3_car_20","all event-firm panel","z_coding",0.0123453093583447,0.00604272698385326,0.0488653803346803,6.50106241028466e-05,0.0246256080925865,2814,35,0.26301955016902
"AA math","ff3_car_20","all event-firm panel","z_math",0.00888720013697951,0.00630297618501177,0.172521319783741,-0.00418437242075687,0.0219587726947159,1860,23,0.23642289432968
"MMLU-Pro","ff3_car_20","all event-firm panel","z_mmlu",0.00514363244567772,0.0029816955533474,0.0926406646756713,-0.000892494631081034,0.0111797595224365,3156,39,0.278408333973043
"GPQA","ff3_car_20","all event-firm panel","z_gpqa",0.00726769593396969,0.00412131267963962,0.0849309402154279,-0.00104372319763825,0.0155791150655776,3541,44,0.289184185013049
"HLE","ff3_car_20","all event-firm panel","z_hle",0.0155531622300578,0.00577725682961625,0.010076176477641,0.00390221344883504,0.0272041110112806,3541,44,0.290952346465583
"LiveCodeBench","ff3_car_20","all event-firm panel","z_livecode",0.00884017527479499,0.0039510578321817,0.031045080218508,0.000848406473100943,0.016831944076489,3235,40,0.288144422722487
"Lower blended price","ff3_car_20","all event-firm panel","z_low_price",-0.00431499137979154,0.00260257816919867,0.104129013022619,-0.00955370952241532,0.000923726762832239,3782,47,0.28165754796748
"Output speed","ff3_car_20","all event-firm panel","z_speed",0.00174979763729095,0.00390092842250756,0.655855536391785,-0.00610236401607423,0.00960195929065614,3782,47,0.281174257154062
"Lower TTFT","ff3_car_20","all event-firm panel","z_low_ttft",-0.0168145652314911,0.00429524421670917,0.000297280224661128,-0.0254604434115891,-0.00816868705139303,3782,47,0.286246027454784
"Price efficiency","ff3_car_20","all event-firm panel","z_price_efficiency",-0.00742418577706308,0.00299123116103995,0.0186898816932836,-0.013524841951284,-0.00132352960284217,2569,32,0.247923211899027
"Speed-adjusted capability","ff3_car_20","all event-firm panel","z_speed_adjusted_capability",0.00481957139857845,0.00448830974844738,0.288510630852665,-0.00421492754065845,0.0138540703378153,3782,47,0.281659802172806
"Intelligence x lower price","ff3_car_20","all event-firm panel","z_intelligence",0.0139715752519232,0.00609513321494682,0.026515566825932,0.00170270842872916,0.0262404420751173,3782,47,0.283806077563037
"Intelligence x lower price","ff3_car_20","all event-firm panel","z_low_price",0.00097448213415054,0.00313063370676231,0.75699931669532,-0.00532715667602014,0.00727612094432122,3782,47,0.283806077563037
"Intelligence x lower price","ff3_car_20","all event-firm panel","z_intelligence:z_low_price",-0.00537109924424694,0.00642961126714969,0.407827903257004,-0.0183132354666553,0.00757103697816144,3782,47,0.283806077563037
"Intelligence x speed","ff3_car_20","all event-firm panel","z_intelligence",0.0145672897793188,0.00598540531586302,0.0188835563497725,0.00251929376126916,0.0266152857973684,3782,47,0.283957345580349
"Intelligence x speed","ff3_car_20","all event-firm panel","z_speed",-0.00323956769853214,0.00503665901050305,0.523289400001766,-0.0133778364540316,0.00689870105696734,3782,47,0.283957345580349
"Intelligence x speed","ff3_car_20","all event-firm panel","z_intelligence:z_speed",0.00653540068037514,0.00976182641552636,0.506532516573376,-0.0131141367488533,0.0261849381096036,3782,47,0.283957345580349
"Intelligence x open weight","ff3_car_20","all event-firm panel","z_intelligence",0.0128348009656828,0.00526509408398605,0.0187040535193005,0.00223671625613059,0.0234328856752351,3782,47,0.286010337602464
"Intelligence x open weight","ff3_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0265363543514195,0.0106204563775829,0.016102974759115,-0.047914224252372,-0.00515848445046711,3782,47,0.286010337602464
"Intelligence x open weight","ff3_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.0255257989141759,0.0126391646915842,0.0492750156496896,-0.0509671178958836,-8.44799324682295e-05,3782,47,0.286010337602464
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","z_intelligence",0.0138331107172229,0.00539075909109544,0.0136077899458433,0.00298207546792201,0.0246841459665238,3782,47,0.287319020650903
