"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"joint_core","main","car_ff3_0_20","event","rel_upstream_hardware",0.0160839256166509,0.0065182465087198,0.0149805210723632,12112,124,101,2688,124,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.17822044628915,0.239751799925818,TRUE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","event","rel_upstream_cloud",0.00155783448992478,0.0074679404848623,0.835103252036279,12112,124,101,562,123,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.946087512167482,0.97312796492186,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","event","rel_downstream_integrator",-0.00487924333071945,0.00472670856613775,0.30397070996351,12112,124,101,1971,124,16,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.690299026205461,0.790218573218253,FALSE,FALSE,"negative"
"joint_core","main","car_ff3_0_20","event","rel_downstream_deployer",-0.000503755514676662,0.00242008480067412,0.835451336240981,12112,124,101,2949,124,24,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.946087512167482,0.97312796492186,FALSE,FALSE,"negative"
"joint_core","main","car_ff3_0_20","event","rel_competitor",0.0153951179267832,0.00589105639639946,0.0100859223649196,12112,124,101,746,123,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.169130701898127,0.235636561389775,TRUE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","event","rel_is_investor",0.0158881917266653,0.0119144891476765,0.18482599235054,12112,124,101,89,45,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.574680234702891,0.71842250810705,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","event","rel_is_owner",0.0124922701064265,0.014350656295303,0.385722060214619,12112,124,101,53,32,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.743560598004084,0.807243495709738,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","rel_upstream_hardware",0.0162904947209464,0.00683337237303414,0.0186565232934261,12112,124,101,2688,124,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.20042815451988,0.159688348389346,TRUE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","rel_upstream_cloud",0.0071579382300235,0.00586935130402057,0.224970783152478,12112,124,101,562,123,6,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.620919927918568,0.528078720073383,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","rel_downstream_integrator",-0.00844946764527844,0.00534166405949376,0.11626228999392,12112,124,101,1971,124,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.462735482562865,0.373008180397159,FALSE,FALSE,"negative"
"single_or_bundle","main","car_ff3_0_20","event","rel_downstream_deployer",-0.00550937771753609,0.002358865004435,0.0211307836792696,12112,124,101,2949,124,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.204160897068334,0.162707034330376,TRUE,FALSE,"negative"
"single_or_bundle","main","car_ff3_0_20","event","rel_competitor",0.0110129740846621,0.0053221126628796,0.040613433455864,12112,124,101,746,123,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.273606288544768,0.221005962975373,TRUE,FALSE,"positive"
