date,Mkt_RF,Mkt_RF_decimal,SMB,SMB_decimal,HML,HML_decimal,RF,RF_decimal
2021-08-24,0.4,0.004,0.36,0.0036,0.35,0.0034999999999999996,0.0,0.0
2021-08-25,0.27,0.0027,-0.04,-0.0004,0.36,0.0036,0.0,0.0
2021-08-26,-0.65,-0.006500000000000001,-0.39,-0.0039000000000000003,-0.33,-0.0033,0.0,0.0
2021-08-27,1.07,0.010700000000000001,1.61,0.0161,0.31,0.0031,0.0,0.0
2021-08-30,0.35,0.0034999999999999996,-0.33,-0.0033,-1.39,-0.0139,0.0,0.0
2021-08-31,-0.13,-0.0013,0.44,0.0044,-0.04,-0.0004,0.0,0.0
2021-09-01,0.11,0.0011,0.59,0.0059,-0.96,-0.0096,0.0,0.0
2021-09-02,0.35,0.0034999999999999996,0.1,0.001,-0.02,-0.0002,0.0,0.0
2021-09-03,-0.02,-0.0002,-0.38,-0.0038,-0.28,-0.0028000000000000004,0.0,0.0
2021-09-07,-0.36,-0.0036,-0.13,-0.0013,-0.08,-0.0008,0.0,0.0
2021-09-08,-0.33,-0.0033,-0.82,-0.008199999999999999,0.07,0.0007000000000000001,0.0,0.0
2021-09-09,-0.28,-0.0028000000000000004,0.24,0.0024,0.09,0.0009,0.0,0.0
2021-09-10,-0.76,-0.0076,-0.08,-0.0008,0.02,0.0002,0.0,0.0
2021-09-13,0.14,0.0014000000000000002,-0.07,-0.0007000000000000001,1.35,0.013500000000000002,0.0,0.0
2021-09-14,-0.66,-0.0066,-0.49,-0.0049,-0.97,-0.0097,0.0,0.0
2021-09-15,0.88,0.0088,0.02,0.0002,0.67,0.0067,0.0,0.0
2021-09-16,-0.05,-0.0005,0.04,0.0004,-0.58,-0.0058,0.0,0.0
2021-09-17,-0.74,-0.0074,0.98,0.0098,-0.05,-0.0005,0.0,0.0
2021-09-20,-1.86,-0.018600000000000002,-0.57,-0.005699999999999999,0.22,0.0022,0.0,0.0
2021-09-21,0.03,0.0003,0.46,0.0046,-0.68,-0.0068000000000000005,0.0,0.0
2021-09-22,1.0,0.01,0.12,0.0012,0.61,0.0060999999999999995,0.0,0.0
2021-09-23,1.28,0.0128,0.36,0.0036,0.92,0.0092,0.0,0.0
2021-09-24,0.09,0.0009,-0.47,-0.004699999999999999,0.71,0.0070999999999999995,0.0,0.0
2021-09-27,-0.11,-0.0011,1.26,0.0126,2.44,0.024399999999999998,0.0,0.0
2021-09-28,-2.17,-0.0217,-0.43,-0.0043,1.76,0.0176,0.0,0.0
2021-09-29,0.04,0.0004,-0.3,-0.003,0.81,0.008100000000000001,0.0,0.0
2021-09-30,-1.03,-0.0103,0.31,0.0031,-0.77,-0.0077,0.0,0.0
2021-10-01,1.12,0.011200000000000002,0.41,0.0040999999999999995,0.51,0.0051,0.0,0.0
2021-10-04,-1.42,-0.014199999999999999,-0.02,-0.0002,2.35,0.0235,0.0,0.0
2021-10-05,1.06,0.0106,-0.52,-0.0052,-0.07,-0.0007000000000000001,0.0,0.0
2021-10-06,0.34,0.0034000000000000002,-0.86,-0.0086,-0.5,-0.005,0.0,0.0
2021-10-07,1.01,0.0101,0.53,0.0053,-0.18,-0.0018,0.0,0.0
2021-10-08,-0.27,-0.0027,-0.6,-0.006,1.13,0.0113,0.0,0.0
2021-10-11,-0.72,-0.0072,0.32,0.0032,-0.28,-0.0028000000000000004,0.0,0.0
2021-10-12,-0.07,-0.0007000000000000001,0.63,0.0063,-0.43,-0.0043,0.0,0.0
2021-10-13,0.43,0.0043,0.14,0.0014000000000000002,-1.05,-0.0105,0.0,0.0
2021-10-14,1.65,0.0165,-0.32,-0.0032,-0.28,-0.0028000000000000004,0.0,0.0
2021-10-15,0.64,0.0064,-1.19,-0.011899999999999999,0.28,0.0028000000000000004,0.0,0.0
2021-10-18,0.4,0.004,-0.23,-0.0023,-0.01,-0.0001,0.0,0.0
2021-10-19,0.7,0.006999999999999999,-0.49,-0.0049,-0.24,-0.0024,0.0,0.0
2021-10-20,0.34,0.0034000000000000002,-0.02,-0.0002,1.2,0.012,0.0,0.0
2021-10-21,0.36,0.0036,0.21,0.0021,-0.99,-0.009899999999999999,0.0,0.0
2021-10-22,-0.25,-0.0025,-0.23,-0.0023,1.02,0.0102,0.0,0.0
2021-10-25,0.56,0.005600000000000001,0.49,0.0049,-0.13,-0.0013,0.0,0.0
2021-10-26,0.05,0.0005,-0.7,-0.006999999999999999,-0.3,-0.003,0.0,0.0
2021-10-27,-0.76,-0.0076,-0.72,-0.0072,-1.2,-0.012,0.0,0.0
2021-10-28,1.11,0.0111,0.88,0.0088,-0.5,-0.005,0.0,0.0
2021-10-29,0.21,0.0021,0.19,0.0019,-0.83,-0.0083,0.0,0.0
2021-11-01,0.5,0.005,2.0,0.02,0.44,0.0044,0.0,0.0
2021-11-02,0.25,0.0025,-0.29,-0.0029,-0.55,-0.0055000000000000005,0.0,0.0
2021-11-03,0.79,0.0079,1.45,0.014499999999999999,-0.16,-0.0016,0.0,0.0
2021-11-04,0.39,0.0039000000000000003,-0.02,-0.0002,-1.38,-0.0138,0.0,0.0
2021-11-05,0.37,0.0037,0.68,0.0068000000000000005,1.22,0.012199999999999999,0.0,0.0
2021-11-08,0.16,0.0016,0.02,0.0002,0.1,0.001,0.0,0.0
2021-11-09,-0.34,-0.0034000000000000002,-0.18,-0.0018,0.46,0.0046,0.0,0.0
2021-11-10,-1.04,-0.0104,-0.66,-0.0066,0.95,0.0095,0.0,0.0
2021-11-11,0.17,0.0017000000000000001,0.53,0.0053,0.34,0.0034000000000000002,0.0,0.0
2021-11-12,0.74,0.0074,-0.32,-0.0032,-0.91,-0.0091,0.0,0.0
2021-11-15,-0.06,-0.0006,-0.52,-0.0052,0.7,0.006999999999999999,0.0,0.0
2021-11-16,0.44,0.0044,0.04,0.0004,-0.68,-0.0068000000000000005,0.0,0.0
2021-11-17,-0.41,-0.0040999999999999995,-0.57,-0.005699999999999999,-0.26,-0.0026,0.0,0.0
2021-11-18,0.14,0.0014000000000000002,-0.56,-0.005600000000000001,-0.06,-0.0006,0.0,0.0
2021-11-19,-0.25,-0.0025,-0.17,-0.0017000000000000001,-1.31,-0.0131,0.0,0.0
2021-11-22,-0.57,-0.005699999999999999,-0.54,-0.0054,2.78,0.0278,0.0,0.0
2021-11-23,-0.02,-0.0002,-0.52,-0.0052,1.77,0.0177,0.0,0.0
2021-11-24,0.3,0.003,0.03,0.0003,-0.87,-0.0087,0.0,0.0
2021-11-26,-2.23,-0.0223,-1.22,-0.012199999999999999,-0.95,-0.0095,0.0,0.0
2021-11-29,1.1,0.011000000000000001,-1.02,-0.0102,-0.78,-0.0078000000000000005,0.0,0.0
2021-11-30,-1.95,-0.0195,0.53,0.0053,-1.13,-0.0113,0.0,0.0
2021-12-01,-1.59,-0.0159,-0.78,-0.0078000000000000005,1.09,0.0109,0.0,0.0
2021-12-02,1.53,0.015300000000000001,0.72,0.0072,1.24,0.0124,0.0,0.0
2021-12-03,-1.18,-0.0118,-1.15,-0.0115,1.08,0.0108,0.0,0.0
2021-12-06,1.2,0.012,0.76,0.0076,0.63,0.0063,0.0,0.0
2021-12-07,2.22,0.0222,0.2,0.002,-1.78,-0.0178,0.0,0.0
2021-12-08,0.46,0.0046,0.67,0.0067,-0.85,-0.0085,0.0,0.0
2021-12-09,-1.04,-0.0104,-1.36,-0.013600000000000001,1.55,0.0155,0.0,0.0
2021-12-10,0.71,0.0070999999999999995,-0.83,-0.0083,0.52,0.0052,0.0,0.0
2021-12-13,-1.04,-0.0104,-0.3,-0.003,-0.99,-0.009899999999999999,0.0,0.0
2021-12-14,-0.76,-0.0076,-0.68,-0.0068000000000000005,1.65,0.0165,0.0,0.0
2021-12-15,1.62,0.016200000000000003,0.38,0.0038,-1.91,-0.0191,0.0,0.0
2021-12-16,-1.19,-0.011899999999999999,-1.6,-0.016,2.8,0.027999999999999997,0.0,0.0
2021-12-17,-0.66,-0.0066,1.89,0.0189,-2.34,-0.023399999999999997,0.0,0.0
2021-12-20,-1.26,-0.0126,-0.16,-0.0016,-0.41,-0.0040999999999999995,0.0,0.0
2021-12-21,2.06,0.0206,0.82,0.008199999999999999,0.19,0.0019,0.0,0.0
2021-12-22,0.97,0.0097,0.26,0.0026,-0.35,-0.0034999999999999996,0.0,0.0
2021-12-23,0.72,0.0072,0.35,0.0034999999999999996,-0.49,-0.0049,0.0,0.0
2021-12-27,1.23,0.0123,-0.1,-0.001,0.31,0.0031,0.0,0.0
2021-12-28,-0.26,-0.0026,-0.6,-0.006,0.82,0.008199999999999999,0.0,0.0
2021-12-29,0.07,0.0007000000000000001,-0.06,-0.0006,0.17,0.0017000000000000001,0.0,0.0
2021-12-30,-0.17,-0.0017000000000000001,0.1,0.001,-0.41,-0.0040999999999999995,0.0,0.0
2021-12-31,-0.31,-0.0031,0.05,0.0005,0.52,0.0052,0.0,0.0
2022-01-03,0.72,0.0072,0.35,0.0034999999999999996,0.77,0.0077,0.0,0.0
2022-01-04,-0.27,-0.0027,-0.81,-0.008100000000000001,3.64,0.0364,0.0,0.0
2022-01-05,-2.26,-0.0226,-1.46,-0.0146,2.58,0.0258,0.0,0.0
2022-01-06,0.0,0.0,0.21,0.0021,1.76,0.0176,0.0,0.0
2022-01-07,-0.49,-0.0049,-1.32,-0.0132,2.02,0.0202,0.0,0.0
2022-01-10,-0.14,-0.0014000000000000002,-0.24,-0.0024,-0.26,-0.0026,0.0,0.0
2022-01-11,1.08,0.0108,-0.09,-0.0009,-0.27,-0.0027,0.0,0.0
2022-01-12,0.13,0.0013,-0.89,-0.0089,0.52,0.0052,0.0,0.0
2022-01-13,-1.55,-0.0155,0.32,0.0032,2.39,0.0239,0.0,0.0
2022-01-14,0.08,0.0008,0.18,0.0018,0.55,0.0055000000000000005,0.0,0.0
